Part,Operator,Measurement
P1,Op1,10.848139181499109
P1,Op1,10.788558987984313
P1,Op1,10.733809812729959
P1,Op2,10.918487381319164
P1,Op2,10.812631549874244
P1,Op2,10.860869465640091
P1,Op3,10.565871754999316
P1,Op3,10.681227583940762
P1,Op3,10.628564545424641
P2,Op1,6.712772090979436
P2,Op1,6.789483130606787
P2,Op1,6.748404727885005
P2,Op2,6.5904789505801675
P2,Op2,6.748992503349488
P2,Op2,6.761947166246228
P2,Op3,6.687609622773035
P2,Op3,6.683559262785523
P2,Op3,6.482079062084615
P3,Op1,6.343031692316313
P3,Op1,6.124217345610211
P3,Op1,6.259563231228917
P3,Op2,6.373169055834241
P3,Op2,6.315192990626623
P3,Op2,6.169061835771615
P3,Op3,6.229384678461958
P3,Op3,6.139934744344882
P3,Op3,6.134933581086356
P4,Op1,7.9631171099170075
P4,Op1,8.003145102225627
P4,Op1,7.91305424607589
P4,Op2,7.972866996956232
P4,Op2,7.868257765260438
P4,Op2,7.924536150041353
P4,Op3,7.777158930105448
P4,Op3,7.791897319216018
P4,Op3,7.787446918566303
P5,Op1,9.767367304052774
P5,Op1,9.921351191808988
P5,Op1,9.871059498106666
P5,Op2,9.745533807911805
P5,Op2,9.752114425647772
P5,Op2,9.87858210534334
P5,Op3,9.668622525511678
P5,Op3,9.77132437265654
P5,Op3,9.782411460772781
P6,Op1,6.437891949665437
P6,Op1,6.336710939291871
P6,Op1,6.4806253693699025
P6,Op2,6.484149876233229
P6,Op2,6.494310283934975
P6,Op2,6.371958397693409
P6,Op3,6.260154103271062
P6,Op3,6.374876890109369
P6,Op3,6.3637174762569035
P7,Op1,11.152827826418527
P7,Op1,10.874269844512007
P7,Op1,10.937999123959948
P7,Op2,11.003894093737005
P7,Op2,10.860474530646433
P7,Op2,10.982343837186898
P7,Op3,10.858790190407793
P7,Op3,10.807713495776088
P7,Op3,10.802845352388047
P8,Op1,9.025050060113099
P8,Op1,9.092535920304572
P8,Op1,9.064686396519024
P8,Op2,8.974242017821242
P8,Op2,9.080122180449044
P8,Op2,8.969495385258819
P8,Op3,8.850979414874084
P8,Op3,8.81208807209997
P8,Op3,8.895228982169101
P9,Op1,9.861637256385697
P9,Op1,9.700137889891398
P9,Op1,9.761831738271159
P9,Op2,9.782178436344877
P9,Op2,9.747815431592397
P9,Op2,9.911783409902503
P9,Op3,9.75376695109465
P9,Op3,9.681986569286277
P9,Op3,9.832858399847805
P10,Op1,8.44119120394441
P10,Op1,8.400721107469426
P10,Op1,8.568479605040487
P10,Op2,8.456701714175727
P10,Op2,8.516628572640466
P10,Op2,8.414957900828094
P10,Op3,8.185834841556304
P10,Op3,8.255498639028563
P10,Op3,8.25906412361121
