Part,Operator,Measurement
P1,Op1,10.235043736715701
P1,Op1,10.162284066786293
P1,Op1,10.414946684488024
P1,Op2,10.273920554939513
P1,Op2,9.965807535472443
P1,Op2,9.98073064310942
P1,Op3,10.34879767193772
P1,Op3,9.881985896110793
P1,Op3,9.688773037575524
P2,Op1,11.98517392340174
P2,Op1,11.665509617470518
P2,Op1,11.290577187541473
P2,Op2,11.373016125165003
P2,Op2,11.476952956680789
P2,Op2,11.259271481118933
P2,Op3,11.286014651144166
P2,Op3,11.744745164446519
P2,Op3,12.002928593381402
P3,Op1,11.63470798711991
P3,Op1,11.481568801655394
P3,Op1,11.82014575313242
P3,Op2,11.670371212438093
P3,Op2,11.365197290733235
P3,Op2,11.618600812656044
P3,Op3,11.884584705269129
P3,Op3,11.509635131431745
P3,Op3,11.32766739969977
P4,Op1,9.726909003614379
P4,Op1,9.696877546348581
P4,Op1,9.952257654584049
P4,Op2,8.987792450189854
P4,Op2,9.174682804724792
P4,Op2,9.121716595616755
P4,Op3,8.969483821976066
P4,Op3,9.52761864240502
P4,Op3,9.648029539594578
P5,Op1,9.65578189343445
P5,Op1,10.293113025226038
P5,Op1,10.12399620387532
P5,Op2,9.81618470629958
P5,Op2,9.74848389008121
P5,Op2,9.91467263198351
P5,Op3,9.344899402800454
P5,Op3,9.928672252138345
P5,Op3,9.92532640472342
P6,Op1,9.071805711421923
P6,Op1,9.70623031518113
P6,Op1,9.526994880551825
P6,Op2,9.587130953155057
P6,Op2,9.220955488045247
P6,Op2,9.347201887041816
P6,Op3,9.572051191546308
P6,Op3,9.206317229727748
P6,Op3,9.648774730805126
P7,Op1,10.88716498873418
P7,Op1,11.066398732395053
P7,Op1,10.762102693390244
P7,Op2,10.995067268046265
P7,Op2,10.850767398591852
P7,Op2,10.615799297647207
P7,Op3,10.975315544205557
P7,Op3,11.163654945485062
P7,Op3,11.32308105112687
P8,Op1,9.69563207821812
P8,Op1,10.432644532836942
P8,Op1,10.3072255419042
P8,Op2,9.890099615066013
P8,Op2,9.616258368628795
P8,Op2,10.29541443316386
P8,Op3,9.65625804310301
P8,Op3,10.204863080856805
P8,Op3,10.425339839997187
P9,Op1,10.651344269297336
P9,Op1,11.0404897035678
P9,Op1,10.73848001045789
P9,Op2,10.95501414789528
P9,Op2,11.336110454686906
P9,Op2,11.48886472423617
P9,Op3,10.46488517463392
P9,Op3,10.825834805782657
P9,Op3,11.209383035498249
P10,Op1,8.492004353063964
P10,Op1,8.144555750719487
P10,Op1,7.794346958158784
P10,Op2,7.857884870098958
P10,Op2,7.763759656913476
P10,Op2,7.707623200491275
P10,Op3,7.664925679657965
P10,Op3,8.001444936005093
P10,Op3,7.9776308971319345
