Part,Operator,Trial,Measurement
1,A,1,10.12
1,A,2,10.15
1,B,1,10.08
1,B,2,10.14
1,C,1,10.18
1,C,2,10.16
2,A,1,9.95
2,A,2,9.98
2,B,1,9.92
2,B,2,9.96
2,C,1,10.02
2,C,2,10.00
3,A,1,11.25
3,A,2,11.28
3,B,1,11.22
3,B,2,11.27
3,C,1,11.30
3,C,2,11.28
4,A,1,10.55
4,A,2,10.58
4,B,1,10.52
4,B,2,10.56
4,C,1,10.60
4,C,2,10.58
5,A,1,9.35
5,A,2,9.38
5,B,1,9.32
5,B,2,9.36
5,C,1,9.40
5,C,2,9.38
6,A,1,10.75
6,A,2,10.78
6,B,1,10.72
6,B,2,10.76
6,C,1,10.80
6,C,2,10.78
7,A,1,11.45
7,A,2,11.48
7,B,1,11.42
7,B,2,11.46
7,C,1,11.50
7,C,2,11.48
8,A,1,9.65
8,A,2,9.68
8,B,1,9.62
8,B,2,9.66
8,C,1,9.70
8,C,2,9.68
9,A,1,10.85
9,A,2,10.88
9,B,1,10.82
9,B,2,10.86
9,C,1,10.90
9,C,2,10.88
10,A,1,11.15
10,A,2,11.18
10,B,1,11.12
10,B,2,11.16
10,C,1,11.20
10,C,2,11.18

